Corrección de efectos;Componentes del coste;Tipo de dato;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2007T3;1.635,72
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2007T2;1.731,68
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2007T1;1.633,84
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2006T4;1.778
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2006T3;1.574,36
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2006T2;1.669,42
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2006T1;1.566,06
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2005T4;1.691,15
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2005T3;1.502,25
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2005T2;1.588,21
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2005T1;1.506,35
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2004T4;1.648,71
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2004T3;1.472,23
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2004T2;1.535
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2004T1;1.479,3
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2003T4;1.610,53
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2003T3;1.443,33
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2003T2;1.484,64
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2003T1;1.422,77
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2002T4;1.554,54
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2002T3;1.396,89
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2002T2;1.422,96
Datos no ajustados de estacionalidad y calendario;Coste salarial total por trabajador;Euros;2002T1;1.354,62
